source_id,title,organization,year,region,topic,evidence_class,source_quality_score,candidate_priority,page_count,chunk_count,text_status,allowed_uses,local_pdf,url,doi
esc_2024_elevated_bp_hypertension_guideline,2024 ESC Guidelines for the management of elevated blood pressure and hypertension,European Society of Cardiology / European Heart Journal,2024,EU,bp_categories,guideline,24,2,107,1162,已切分入向量索引,bp_category_reference；home_bp_monitoring；remeasurement；lifestyle；special_population,knowledge_base/sources/downloads/esc_2024_elevated_bp_hypertension_guideline.pdf,https://academic.oup.com/eurheartj/article/45/38/3912/7741010,10.1093/eurheartj/ehae178
acc_aha_2025_full_guideline_record,2025 AHA ACC Guideline for the Prevention Detection Evaluation and Management of High Blood Pressure in Adults,American Heart Association / American College of Cardiology,2025,AHA,bp_categories,guideline,25,2,105,978,已切分入向量索引,bp_category_reference；home_bp_monitoring；remeasurement；lifestyle；special_population,knowledge_base/sources/downloads/acc_aha_2025_full_guideline_record.pdf,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,10.1161/CIR.0000000000001356
chinese_hypertension_guideline_2024_catalog,Chinese Guidelines for the Prevention and Treatment of Hypertension (2024 revision),Chinese guideline authors,2025,CN,bp_categories,guideline,24,1,149,1137,已切分入向量索引,bp_category_reference；home_bp_monitoring；remeasurement；lifestyle；special_population,knowledge_base/sources/downloads/chinese_hypertension_guideline_2024_catalog.pdf,https://www.sciopen.com/article/10.26599/1671-5411.2025.01.008,10.26599/1671-5411.2025.01.008
mukkamala_2015_ptt_bp_monitoring_theory_practice,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Theory and Practice,IEEE Transactions on Biomedical Engineering,2015,global,cuffless_ppg_limitations,review,21,3,48,228,已切分入向量索引,cuffless_ppg_limitations；signal_quality；research_background,knowledge_base/sources/downloads/mukkamala_2015_ptt_bp_monitoring_theory_practice.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4515215/,10.1109/TBME.2015.2441951
mukkamala_2017_ptt_calibration_error_limits,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Predictions on Maximum Calibration Period and Acceptable Error Limits,IEEE Transactions on Biomedical Engineering,2017,global,cuffless_ppg_limitations,research_context,22,3,28,121,已切分入向量索引,cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/mukkamala_2017_ptt_calibration_error_limits.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6014705/,10.1109/TBME.2017.2756018
ode_2020_continuous_ambulatory_bp_ptt_data_acquisition,Towards Continuous and Ambulatory Blood Pressure Monitoring - Methods for Efficient Data Acquisition for Pulse Transit Time Estimation,Sensors,2020,global,cuffless_ppg_limitations,research_context,22,4,25,131,已切分入向量索引,cuffless_ppg_limitations；signal_quality；research_background,knowledge_base/sources/downloads/ode_2020_continuous_ambulatory_bp_ptt_data_acquisition.pdf,https://www.mdpi.com/1424-8220/20/24/7106,10.3390/s20247106
bradley_2022_cuffless_bp_devices_review,Cuffless Blood Pressure Devices,American Journal of Hypertension,2022,global,cuffless_ppg_limitations,review,23,3,8,75,已切分入向量索引,cuffless_ppg_limitations；device_advice；research_background,knowledge_base/sources/downloads/bradley_2022_cuffless_bp_devices_review.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9088838/,10.1093/ajh/hpac017
aha_cuffless_bp_scientific_statement,Cuffless Devices for the Measurement of Blood Pressure,American Heart Association,2025,AHA,cuffless_ppg_limitations,scientific_statement,25,1,11,97,已切分入向量索引,cuffless_ppg_limitations；device_advice；signal_quality；research_background,knowledge_base/sources/downloads/aha_cuffless_bp_scientific_statement.pdf,https://professional.heart.org/en/science-news/cuffless-devices-for-the-measurement-of-blood-pressure/top-things-to-know,10.1161/HYP.0000000000000254
fda_cuffless_nibp_draft_guidance,Cuffless Non-invasive Blood Pressure Measuring Devices - Clinical Performance Testing and Evaluation,U.S. Food and Drug Administration,2026,US,cuffless_ppg_limitations,validation_standard,25,2,11,42,已切分入向量索引,cuffless_ppg_limitations；device_advice；signal_quality；research_background,knowledge_base/sources/downloads/fda_cuffless_nibp_draft_guidance.pdf,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cuffless-non-invasive-blood-pressure-measuring-devices-clinical-performance-testing-and-evaluation,
parati_2026_esc_cuffless_bp_monitoring_statement,Cuffless Blood Pressure Monitoring Devices - Technical Foundations and Clinical Implications,European Society of Cardiology,2026,EU,cuffless_ppg_limitations,scientific_statement,25,2,14,136,已切分入向量索引,cuffless_ppg_limitations；device_advice；research_background；disclaimer,knowledge_base/sources/downloads/parati_2026_esc_cuffless_bp_monitoring_statement.pdf,https://academic.oup.com/eurjpc/advance-article/doi/10.1093/eurjpc/zwag058/8497606,10.1093/eurjpc/zwag058
chinese_2011_bp_measurement_guideline,中国血压测量指南,中国高血压联盟 / 国家心血管病中心,2011,CN,home_bp_monitoring,guideline,20,3,15,124,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice,knowledge_base/sources/downloads/chinese_2011_bp_measurement_guideline.pdf,https://www.nccd.org.cn/UploadFile/201504/20150416170041172172.pdf,
nhc_2017_basic_public_health_service_hypertension_management,国家基本公共卫生服务规范（第三版）高血压患者健康管理服务规范,原国家卫生计生委,2017,CN,home_bp_monitoring,guideline,23,2,101,139,已切分入向量索引,home_bp_monitoring；remeasurement；special_population；emergency_alert,knowledge_base/sources/downloads/nhc_2017_basic_public_health_service_hypertension_management.pdf,https://www.nhc.gov.cn/ewebeditor/uploadfile/2017/04/20170417104506514.pdf,
chinese_2019_home_bp_monitoring_guideline,2019中国家庭血压监测指南,中国高血压联盟《家庭血压监测指南》委员会,2019,CN,home_bp_monitoring,guideline,22,1,5,26,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice；bp_category_reference,knowledge_base/sources/downloads/chinese_2019_home_bp_monitoring_guideline.pdf,https://zhgxyzz.xml-journal.net/cn/article/pdf/preview/10.16439/j.cnki.1673-7245.2019.08.005.pdf,10.3969/j.issn.1000-3614.2019.07.003
muntner_2019_aha_bp_measurement_scientific_statement,Measurement of Blood Pressure in Humans - A Scientific Statement From the American Heart Association,American Heart Association,2019,AHA,home_bp_monitoring,scientific_statement,24,2,70,380,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice；bp_category_reference,knowledge_base/sources/downloads/muntner_2019_aha_bp_measurement_scientific_statement.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11409525/,10.1161/HYP.0000000000000087
aha_ama_2020_smbp_policy_statement,Self-Measured Blood Pressure Monitoring at Home: A Joint Policy Statement From the American Heart Association and American Medical Association,American Heart Association / American Medical Association,2020,US,home_bp_monitoring,scientific_statement,22,3,22,205,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice,knowledge_base/sources/downloads/aha_ama_2020_smbp_policy_statement.pdf,https://pubmed.ncbi.nlm.nih.gov/32567342/,10.1161/CIR.0000000000000803
ish_2020_global_guideline,2020 International Society of Hypertension Global Hypertension Practice Guidelines,International Society of Hypertension,2020,global,home_bp_monitoring,guideline,21,4,24,196,已切分入向量索引,home_bp_monitoring；remeasurement；lifestyle；special_population,knowledge_base/sources/downloads/ish_2020_global_guideline.pdf,https://ish-world.com/global-hypertension-practice-guidelines/,
nccd_2020_primary_hypertension_management_guideline,国家基层高血压防治管理指南（2020版）,国家心血管病中心 / 国家基本公共卫生服务项目基层高血压管理办公室,2020,CN,home_bp_monitoring,guideline,23,2,35,46,已切分入向量索引,home_bp_monitoring；remeasurement；lifestyle；special_population；emergency_alert,knowledge_base/sources/downloads/nccd_2020_primary_hypertension_management_guideline.pdf,https://www.nccd.org.cn/Sites/Uploaded/File/2021/3/%E5%9B%BD%E5%AE%B6%E5%9F%BA%E5%B1%82%E9%AB%98%E8%A1%80%E5%8E%8B%E9%98%B2%E6%B2%BB%E7%AE%A1%E7%90%86%E6%8C%87%E5%8D%97%202020%E7%89%88.pdf,
esh_2021_home_bp_monitoring_position_paper,Home blood pressure monitoring - methodology clinical relevance and practical application,European Society of Hypertension,2021,EU,home_bp_monitoring,scientific_statement,25,2,26,295,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice,knowledge_base/sources/downloads/esh_2021_home_bp_monitoring_position_paper.pdf,https://sussex.figshare.com/articles/journal_contribution/Home_blood_pressure_monitoring_Methodology_clinical_relevance_and_practical_application_A_2021_position_paper_by_the_Working_Group_on_Blood_Pressure_Monitoring_and_Cardiovascular_Variability_of_the_European_Society_of_Hypertension/29269019,10.1097/HJH.0000000000002922
