topic,topic_cn,source_id,title,organization,year,evidence_class,evidence_class_cn,source_type,allowed_uses,url
bp_categories,血压分类/阈值参考,acc_aha_2025_full_guideline_record,2025 AHA ACC Guideline for the Prevention Detection Evaluation and Management of High Blood Pressure in Adults,American Heart Association / American College of Cardiology,2025,guideline,指南,guideline_record,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
bp_categories,血压分类/阈值参考,aha_2025_bp_guideline_top_things,2025 High Blood Pressure Guideline - Top Things to Know,American Heart Association,2025,guideline,指南,guideline_summary,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population,https://professional.heart.org/en/science-news/2025-high-blood-pressure-guideline/top-things-to-know
bp_categories,血压分类/阈值参考,aha_understanding_bp_readings_public,Understanding Blood Pressure Readings,American Heart Association,2026,official_health_education,官方健康教育,patient_education,bp_category_reference;emergency_alert;remeasurement,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings
bp_categories,血压分类/阈值参考,chinese_hypertension_guideline_2024_catalog,Chinese Guidelines for the Prevention and Treatment of Hypertension (2024 revision),Chinese guideline authors,2025,guideline,指南,guideline,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population,https://www.sciopen.com/article/10.26599/1671-5411.2025.01.008
bp_categories,血压分类/阈值参考,esc_2024_bp_guideline_key_points,2024 ESC Guidelines for Elevated Blood Pressure and Hypertension - Key Points,European Society of Cardiology / American College of Cardiology summary,2024,guideline,指南,guideline_summary,bp_category_reference;home_bp_monitoring;remeasurement;special_population,https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2024/09/05/14/11/2024-esc-guidelines-for-bp-esc-2024
bp_categories,血压分类/阈值参考,nhlbi_high_blood_pressure,High Blood Pressure,"National Heart, Lung, and Blood Institute",2026,official_health_education,官方健康教育,patient_education,bp_category_reference;lifestyle;special_population,https://www.nhlbi.nih.gov/health/high-blood-pressure
bp_categories,血压分类/阈值参考,who_global_hypertension_report_2023,Global report on hypertension: the race against a silent killer,World Health Organization,2023,official_health_education,官方健康教育,global_report_pdf,bp_category_reference;lifestyle;home_bp_monitoring;disclaimer,https://iris.who.int/handle/10665/372896
bp_categories,血压分类/阈值参考,who_hypertension_fact_sheet,Hypertension fact sheet,World Health Organization,2026,official_health_education,官方健康教育,fact_sheet,bp_category_reference;lifestyle;special_population,https://www.who.int/news-room/fact-sheets/detail/hypertension
cuffless_ppg_limitations,无袖带/PPG 局限,aha_cuffless_bp_scientific_statement,Cuffless Devices for the Measurement of Blood Pressure,American Heart Association,2025,scientific_statement,科学声明,scientific_statement,cuffless_ppg_limitations;device_advice;signal_quality;research_background,https://professional.heart.org/en/science-news/cuffless-devices-for-the-measurement-of-blood-pressure/top-things-to-know
cuffless_ppg_limitations,无袖带/PPG 局限,bradley_2022_cuffless_bp_devices_review,Cuffless Blood Pressure Devices,American Journal of Hypertension,2022,review,综述,review_pdf,cuffless_ppg_limitations;device_advice;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC9088838/
cuffless_ppg_limitations,无袖带/PPG 局限,fda_cuffless_nibp_draft_guidance,Cuffless Non-invasive Blood Pressure Measuring Devices - Clinical Performance Testing and Evaluation,U.S. Food and Drug Administration,2026,validation_standard,验证标准/监管,regulatory_guidance_draft,cuffless_ppg_limitations;device_advice;signal_quality;research_background,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cuffless-non-invasive-blood-pressure-measuring-devices-clinical-performance-testing-and-evaluation
cuffless_ppg_limitations,无袖带/PPG 局限,mukkamala_2015_ptt_bp_monitoring_theory_practice,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Theory and Practice,IEEE Transactions on Biomedical Engineering,2015,review,综述,review_pdf,cuffless_ppg_limitations;signal_quality;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC4515215/
cuffless_ppg_limitations,无袖带/PPG 局限,mukkamala_2017_ptt_calibration_error_limits,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Predictions on Maximum Calibration Period and Acceptable Error Limits,IEEE Transactions on Biomedical Engineering,2017,research_context,研究背景,research_article_pdf,cuffless_ppg_limitations;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC6014705/
cuffless_ppg_limitations,无袖带/PPG 局限,ode_2020_continuous_ambulatory_bp_ptt_data_acquisition,Towards Continuous and Ambulatory Blood Pressure Monitoring - Methods for Efficient Data Acquisition for Pulse Transit Time Estimation,Sensors,2020,research_context,研究背景,research_article_pdf,cuffless_ppg_limitations;signal_quality;research_background,https://www.mdpi.com/1424-8220/20/24/7106
cuffless_ppg_limitations,无袖带/PPG 局限,parati_2026_esc_cuffless_bp_monitoring_statement,Cuffless Blood Pressure Monitoring Devices - Technical Foundations and Clinical Implications,European Society of Cardiology,2026,scientific_statement,科学声明,scientific_statement_pdf,cuffless_ppg_limitations;device_advice;research_background;disclaimer,https://academic.oup.com/eurjpc/advance-article/doi/10.1093/eurjpc/zwag058/8497606
cuffless_ppg_limitations,无袖带/PPG 局限,pubmed_cuffless_bp_review_41460057,Cuffless blood pressure measurement narrative review - PubMed record,PubMed,2025,review,综述,narrative_review,research_background;cuffless_ppg_limitations,https://pubmed.ncbi.nlm.nih.gov/41460057/
cuffless_ppg_limitations,无袖带/PPG 局限,pubmed_cuffless_bp_statement_41376592,Cuffless Devices for the Measurement of Blood Pressure - PubMed record,PubMed / American Heart Association,2025,scientific_statement,科学声明,bibliographic_record,cuffless_ppg_limitations;research_background,https://pubmed.ncbi.nlm.nih.gov/41376592/
disclaimer,免责声明/安全规则,local_disclaimer_rule,Required disclaimer rule,project,2026,safety_rule,项目安全规则,local_safety_rule,disclaimer;cuffless_ppg_limitations,
disclaimer,免责声明/安全规则,local_evidence_quality_rule,Evidence quality and citation safety rule,project,2026,safety_rule,项目安全规则,local_safety_rule,disclaimer;research_background,
disclaimer,免责声明/安全规则,local_kb_governance_rule,Knowledge base governance rule,project,2026,safety_rule,项目安全规则,local_safety_rule,disclaimer;research_background,
emergency,急症/危险信号,aha_hypertensive_crisis_public,Hypertensive Crisis and Emergency Warning,American Heart Association,2026,official_health_education,官方健康教育,safety_education,emergency_alert;bp_category_reference,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings
emergency,急症/危险信号,cdc_heart_disease_symptoms,Heart Attack Symptoms Risk and Recovery,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,emergency_alert;special_population,https://www.cdc.gov/heart-disease/about/heart-attack.html
emergency,急症/危险信号,cdc_stroke_signs,Stroke Signs and Symptoms,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,emergency_alert,https://www.cdc.gov/stroke/signs-symptoms/index.html
emergency,急症/危险信号,local_hypertensive_emergency_rule,Hypertensive emergency safety rule,project,2026,safety_rule,项目安全规则,local_safety_rule,emergency_alert,
emergency,急症/危险信号,medlineplus_hypertensive_crisis,Hypertensive crisis,MedlinePlus,2026,official_health_education,官方健康教育,patient_education,emergency_alert,https://medlineplus.gov/ency/article/000491.htm
emergency,急症/危险信号,nhs_high_blood_pressure,High blood pressure hypertension,National Health Service,2026,official_health_education,官方健康教育,patient_education,emergency_alert;home_bp_monitoring;lifestyle,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/
home_bp_monitoring,家庭血压监测/规范测量,aha_ama_2020_smbp_policy_statement,Self-Measured Blood Pressure Monitoring at Home: A Joint Policy Statement From the American Heart Association and American Medical Association,American Heart Association / American Medical Association,2020,scientific_statement,科学声明,policy_statement_pdf,home_bp_monitoring;remeasurement;device_advice,https://pubmed.ncbi.nlm.nih.gov/32567342/
home_bp_monitoring,家庭血压监测/规范测量,aha_home_bp_measurement_instructions,Home Blood Pressure Measurement Instructions,American Heart Association,2025,official_health_education,官方健康教育,patient_instruction_pdf,home_bp_monitoring;remeasurement;device_advice,https://www.heart.org/-/media/files/health-topics/high-blood-pressure/how_to_measure_your_blood_pressure_letter_size.pdf
home_bp_monitoring,家庭血压监测/规范测量,aha_home_bp_monitoring_public,Home Blood Pressure Monitoring,American Heart Association,2026,official_health_education,官方健康教育,patient_education,home_bp_monitoring;remeasurement;device_advice,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home
home_bp_monitoring,家庭血压监测/规范测量,ama_target_bp_measure_accurately,Target BP - Measure Accurately,American Medical Association / American Heart Association,2026,official_health_education,官方健康教育,clinical_toolkit,home_bp_monitoring;remeasurement;device_advice,https://targetbp.org/tools-downloads/
home_bp_monitoring,家庭血压监测/规范测量,cdc_managing_my_blood_pressure_questions,Managing My Blood Pressure - Questions to Ask My Doctor,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_question_prompt_pdf,home_bp_monitoring;lifestyle;disclaimer,https://www.cdc.gov/heart-disease/docs/Managing_My_Blood_Pressure.pdf
home_bp_monitoring,家庭血压监测/规范测量,cdc_measure_blood_pressure_home,Measure Your Blood Pressure,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,home_bp_monitoring;remeasurement;device_advice,https://www.cdc.gov/high-blood-pressure/measure/index.html
home_bp_monitoring,家庭血压监测/规范测量,cdc_million_hearts_smbp_action_guide,Million Hearts Self-Measured Blood Pressure Monitoring: Action Steps for Clinicians,Centers for Disease Control and Prevention / Million Hearts,2014,official_health_education,官方健康教育,clinical_toolkit_pdf,home_bp_monitoring;remeasurement;device_advice,https://stacks.cdc.gov/view/cdc/251870
