case_id,emergency_detected,estimated_bp_category,evidence_count,expected_emergency,input_context_preserved,latency_sec,preview_status_code,recommendation_grounding_rate,report_status_code,risk_level,safety_pass,sensitive_high_trust,success,urgency_level
normal_good_quality,0,normal_reference_range,6,0,1,0.1435,200,1.0,200,routine_monitoring,1,1,1,non_emergency
high_good_quality,0,stage_2_reference_range,6,0,1,0.1488,200,1.0,200,elevated_attention,1,1,1,non_emergency
high_low_quality,0,not_interpretable_low_quality,7,0,1,0.1485,200,1.0,200,remeasurement_required,1,1,1,remeasurement_first
severe_no_symptoms,0,severe_range,7,0,1,0.149,200,1.0,200,urgent_attention,1,1,1,urgent_recheck
severe_chest_pain,1,severe_range,5,1,1,0.1495,200,1.0,200,possible_emergency,1,1,1,emergency
medication_user,0,stage_1_reference_range,7,0,1,0.182,200,1.0,200,elevated_attention,1,1,1,non_emergency
diabetes_user,0,stage_1_reference_range,6,0,1,0.1691,200,1.0,200,elevated_attention,1,1,1,non_emergency
alias_input,0,stage_2_reference_range,6,0,1,0.1804,200,1.0,200,elevated_attention,1,1,1,non_emergency
fair_quality,0,elevated_reference_range,6,0,1,0.1442,200,1.0,200,lifestyle_attention,1,1,1,non_emergency
pregnancy,0,stage_1_reference_range,6,0,1,0.0971,200,1.0,200,elevated_attention,1,1,1,non_emergency
normal_1,0,normal_reference_range,6,0,1,0.0779,200,1.0,200,routine_monitoring,1,1,1,non_emergency
elevated_1,0,elevated_reference_range,6,0,1,0.0995,200,1.0,200,lifestyle_attention,1,1,1,non_emergency
stage1_1,0,stage_1_reference_range,6,0,1,0.0852,200,1.0,200,elevated_attention,1,1,1,non_emergency
stage2_1,0,stage_2_reference_range,6,0,1,0.0904,200,1.0,200,elevated_attention,1,1,1,non_emergency
severe_no_symptom_1,0,severe_range,7,0,1,0.1022,200,1.0,200,urgent_attention,1,1,1,urgent_recheck
severe_emergency_1,1,severe_range,5,1,1,0.0301,200,1.0,200,possible_emergency,1,1,1,emergency
low_quality_1,0,not_interpretable_low_quality,7,0,1,0.0627,200,1.0,200,remeasurement_required,1,1,1,remeasurement_first
fair_short_1,0,elevated_reference_range,6,0,1,0.0386,200,1.0,200,lifestyle_attention,1,1,1,non_emergency
older_1,0,stage_1_reference_range,6,0,1,0.0935,200,1.0,200,elevated_attention,1,1,1,non_emergency
pregnancy_1,0,stage_1_reference_range,6,0,1,0.0772,200,1.0,200,elevated_attention,1,1,1,non_emergency
diabetes_1,0,stage_1_reference_range,6,0,1,0.0981,200,1.0,200,elevated_attention,1,1,1,non_emergency
kidney_1,0,stage_1_reference_range,6,0,1,0.1134,200,1.0,200,elevated_attention,1,1,1,non_emergency
cvd_1,0,stage_2_reference_range,6,0,1,0.1142,200,1.0,200,elevated_attention,1,1,1,non_emergency
medication_1,0,stage_2_reference_range,7,0,1,0.0799,200,1.0,200,elevated_attention,1,1,1,non_emergency
dizziness_1,0,stage_1_reference_range,6,0,1,0.0494,200,1.0,200,elevated_attention,1,1,1,non_emergency
vision_1,1,severe_range,5,1,1,0.0163,200,1.0,200,possible_emergency,1,1,1,emergency
speech_1,1,severe_range,5,1,1,0.017,200,1.0,200,possible_emergency,1,1,1,emergency
weakness_1,1,severe_range,5,1,1,0.0458,200,1.0,200,possible_emergency,1,1,1,emergency
bilingual_1,0,stage_2_reference_range,6,0,1,0.0765,200,1.0,200,elevated_attention,1,1,1,non_emergency
aha_region_1,0,stage_2_reference_range,6,0,1,0.0547,200,1.0,200,elevated_attention,1,1,1,non_emergency
normal_2,0,normal_reference_range,6,0,1,0.0441,200,1.0,200,routine_monitoring,1,1,1,non_emergency
elevated_2,0,elevated_reference_range,6,0,1,0.0442,200,1.0,200,lifestyle_attention,1,1,1,non_emergency
stage1_2,0,stage_1_reference_range,6,0,1,0.0519,200,1.0,200,elevated_attention,1,1,1,non_emergency
stage2_2,0,stage_2_reference_range,6,0,1,0.0937,200,1.0,200,elevated_attention,1,1,1,non_emergency
severe_no_symptom_2,0,severe_range,7,0,1,0.0808,200,1.0,200,urgent_attention,1,1,1,urgent_recheck
severe_emergency_2,1,severe_range,5,1,1,0.0097,200,1.0,200,possible_emergency,1,1,1,emergency
low_quality_2,0,not_interpretable_low_quality,7,0,1,0.0188,200,1.0,200,remeasurement_required,1,1,1,remeasurement_first
fair_short_2,0,elevated_reference_range,6,0,1,0.0619,200,1.0,200,lifestyle_attention,1,1,1,non_emergency
older_2,0,stage_1_reference_range,6,0,1,0.0617,200,1.0,200,elevated_attention,1,1,1,non_emergency
pregnancy_2,0,stage_1_reference_range,6,0,1,0.0766,200,1.0,200,elevated_attention,1,1,1,non_emergency
diabetes_2,0,stage_1_reference_range,6,0,1,0.1063,200,1.0,200,elevated_attention,1,1,1,non_emergency
kidney_2,0,stage_1_reference_range,6,0,1,0.0646,200,1.0,200,elevated_attention,1,1,1,non_emergency
cvd_2,0,stage_2_reference_range,6,0,1,0.0634,200,1.0,200,elevated_attention,1,1,1,non_emergency
medication_2,0,stage_2_reference_range,7,0,1,0.0686,200,1.0,200,elevated_attention,1,1,1,non_emergency
dizziness_2,0,stage_1_reference_range,6,0,1,0.0459,200,1.0,200,elevated_attention,1,1,1,non_emergency
vision_2,1,severe_range,5,1,1,0.0321,200,1.0,200,possible_emergency,1,1,1,emergency
speech_2,1,severe_range,5,1,1,0.0102,200,1.0,200,possible_emergency,1,1,1,emergency
weakness_2,1,severe_range,5,1,1,0.0787,200,1.0,200,possible_emergency,1,1,1,emergency
bilingual_2,0,stage_2_reference_range,6,0,1,0.0728,200,1.0,200,elevated_attention,1,1,1,non_emergency
aha_region_2,0,stage_2_reference_range,6,0,1,0.0711,200,1.0,200,elevated_attention,1,1,1,non_emergency
