mode,query,scenario_type,expected_uses,expected_topics,expected_evidence_classes,precision_at_k,topic_precision_at_k,has_match,has_topic_match,has_expected_class,high_trust_sensitive,unsafe_source_leakage
calibrated_query_only,PPG 血压估算准确吗 可以替代血压计吗,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,无袖带 血压 设备 局限 PPG,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,手指摄像头 PPG 信号质量差 怎么办,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,置信度低 血压估算 是否可信,general,signal_quality|cuffless_ppg_limitations,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,0.714,0.714,True,True,True,True,
calibrated_query_only,PPG 运动伪影 手指移动 光学信号质量,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 接触压力 过紧 过松 波形质量,general,signal_quality,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,摄像头 PPG 肤色 环境光 影响 测量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 采集时长 采样 信号处理 最佳实践,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,motion_artifact_score 偏高 PPG 手指移动 重新采集,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,finger_coverage_score 低 手指覆盖不完整 摄像头 PPG,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,contact_pressure_level high 手指按压过紧 PPG 波形质量,general,signal_quality,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,ambient_light_level bright 强光 摄像头 PPG 信号质量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 采集 8 秒 有效脉搏不足 能不能看,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,0.571,0.429,True,True,True,True,
calibrated_query_only,PAT PTT 校准限制 可以证明血压准确吗,general,cuffless_ppg_limitations|research_background,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,腕部 PPG 传感器位置 姿势 高度 信号质量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,可穿戴光学传感器 活动状态 运动 误差 PPG,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,imaging PPG quality assessment ambient illumination motion artifact,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,145/92 血压估算 偏高 需要注意什么,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,0.857,True,True,True,True,
calibrated_query_only,130/85 估算血压 生活方式 建议,general,bp_category_reference|lifestyle,bp_categories|lifestyle,guideline|official_health_education|safety_rule,1.0,0.429,True,True,True,True,
calibrated_query_only,185/122 胸痛 气短 需要急救吗,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,180 120 没有症状 复测 规范血压计,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,胸痛 说话困难 肢体无力 高血压 急症,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,正在使用降压药 PPG 血压偏高 要停药吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,降压药 剂量 调整 可以吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,妊娠 孕妇 血压估算偏高,sensitive,special_population|emergency_alert,special_population|emergency,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,糖尿病 用户 血压估算偏高 咨询医生,general,special_population,special_population,guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,慢性肾病 CKD 血压偏高 PPG,general,special_population,special_population,guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,老年人 65 岁 血压估算 复核,general,special_population|home_bp_monitoring,special_population|home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry,1.0,1.0,True,True,True,True,
calibrated_query_only,家庭血压监测 上臂式 电子血压计,general,home_bp_monitoring|device_advice,home_bp_monitoring|measurement_quality|validated_devices|cuffless_ppg_limitations,guideline|official_health_education|official_registry|validation_standard,1.0,1.0,True,True,True,True,
calibrated_query_only,腕式 手指式 血压计 可靠吗 上臂式,general,device_advice|home_bp_monitoring,validated_devices|home_bp_monitoring|cuffless_ppg_limitations|measurement_quality,validation_standard|official_registry|guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,经过验证的血压计 STRIDE BP,general,validated_devices|device_advice,validated_devices|home_bp_monitoring|cuffless_ppg_limitations,validation_standard|official_registry|guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,复测前休息五分钟 血压测量,general,remeasurement|home_bp_monitoring,home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule|official_registry,1.0,0.857,True,True,True,True,
calibrated_query_only,连续多天记录 家庭血压 趋势,general,home_bp_monitoring|remeasurement,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,减少钠盐摄入 血压 生活方式,general,lifestyle,lifestyle,guideline|official_health_education,0.833,0.667,True,True,True,True,
calibrated_query_only,规律运动 控制血压 生活方式,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.857,True,True,True,True,
calibrated_query_only,体重管理 血压 健康建议,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.833,True,True,True,True,
calibrated_query_only,戒烟 限酒 睡眠 压力 血压,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.714,True,True,True,True,
calibrated_query_only,中国 高血压 指南 2024 中文场景,general,bp_category_reference,bp_categories,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,AHA 血压分类 normal elevated stage 2,general,bp_category_reference,bp_categories,guideline|official_health_education|safety_rule,1.0,0.714,True,True,True,True,
calibrated_query_only,NICE 家庭血压监测 动态血压,general,home_bp_monitoring,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry,1.0,1.0,True,True,True,True,
calibrated_query_only,ESC 2024 血压 指南 家庭测量,general,home_bp_monitoring|bp_category_reference,home_bp_monitoring|measurement_quality|bp_categories,guideline|official_health_education|official_registry|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,ISO 81060 血压计 验证 标准,general,device_advice|research_background,validated_devices|home_bp_monitoring|cuffless_ppg_limitations|measurement_quality,validation_standard|official_registry|guideline|official_health_education|review|research_context|scientific_statement|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,报告 免责声明 PPG 不能替代诊断,general,disclaimer|cuffless_ppg_limitations,disclaimer|cuffless_ppg_limitations|measurement_quality,safety_rule|scientific_statement|official_health_education|guideline|review|research_context,1.0,1.0,True,True,True,True,
calibrated_query_only,FDA 无袖带 血压设备 临床性能 测试 PPG,general,cuffless_ppg_limitations|device_advice,cuffless_ppg_limitations|measurement_quality|validated_devices|home_bp_monitoring,scientific_statement|guideline|official_health_education|review|research_context|safety_rule|validation_standard|official_registry,1.0,1.0,True,True,True,True,
calibrated_query_only,WHO 袖带式 自动血压计 技术规范 验证设备,general,device_advice|home_bp_monitoring,validated_devices|home_bp_monitoring|cuffless_ppg_limitations|measurement_quality,validation_standard|official_registry|guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,USPSTF 高血压筛查 诊室外 血压确认 家庭监测,general,home_bp_monitoring|remeasurement,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,国家卫健委 高血压 营养 运动 指导原则 减盐,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.833,True,True,True,True,
calibrated_query_only,全国高血压日 规范测量 记录 生活方式,general,home_bp_monitoring|lifestyle,home_bp_monitoring|measurement_quality|lifestyle,guideline|official_health_education|official_registry,1.0,1.0,True,True,True,True,
calibrated_query_only,KDIGO 2024 慢性肾病 CKD 血压偏高 复核,general,special_population|medication_safety,special_population|medication_safety,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,ADA 2026 糖尿病 血压 心血管风险 用药安全,general,special_population|medication_safety,special_population|medication_safety,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,国家基层高血压防治管理标准 2025 基层 随访 健康教育,general,home_bp_monitoring|special_population,home_bp_monitoring|measurement_quality|special_population,guideline|official_health_education|official_registry,1.0,1.0,True,True,True,True,
calibrated_query_only,中国血压测量指南 测量姿势 复测 记录,general,home_bp_monitoring|remeasurement,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry|safety_rule,1.0,0.833,True,True,True,True,
calibrated_query_only,老年高血压 PPG 偏高 体位性低血压 咨询医生,general,special_population|remeasurement,special_population|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,WHO 高血压药物治疗 PPG 结果 可以自行调药吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,孕期 血压 160 110 头痛 视力改变 急救,sensitive,special_population|emergency_alert,special_population|emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,DASH 饮食 NHLBI 减盐 血压 生活方式,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.714,True,True,True,True,
calibrated_query_only,AHA 家庭血压测量 读两次 间隔一分钟 记录,general,home_bp_monitoring|remeasurement,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 手指摄像头 血压估算 是否可靠,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,无袖带 血压设备 真实场景 局限,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 估算值 能不能代替上臂血压计,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,0.8,0.8,True,True,True,True,
calibrated_query_only,手机摄像头测血压 为什么只能看趋势,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,0.857,True,True,True,True,
calibrated_query_only,血压估算 算法置信度 和 PPG 局限,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,cuffless PPG blood pressure limitation validation,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,无袖带血压 科学声明 PPG 间接估算,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,PPG 血压趋势参考 不能诊断,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,0.857,True,True,True,True,
calibrated_query_only,信号质量 poor 血压估算 重新采集,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,0.857,True,True,True,True,
calibrated_query_only,采集时长 15 秒 PPG 血压 复测,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,手指移动 强光 摄像头 PPG 信号差,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,quality_score 低 血压估算 不确定,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,confidence 0.4 PPG 血压 需要复核,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,手指覆盖不完整 PPG 估算 怎么办,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,摄像头 PPG 采集环境 影响血压估算,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,低质量信号 不生成强风险结论,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
calibrated_query_only,145 92 PPG 血压估算 偏高 复测,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,138 86 估算血压 参考范围,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,125 78 血压估算 elevated 注意什么,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,116 74 PPG 血压 正常参考 趋势,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,150 95 血压估算 stage 2 复核,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,中国高血压指南 2024 家庭血压参考,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,AHA blood pressure category stage 1 stage 2,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,单次血压估算 为什么要连续记录,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,185 122 胸痛 气短 立即急救,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,180 120 说话困难 肢体无力 高血压急症,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,严重偏高 视物改变 背痛 急救,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,PPG 估算 190 125 severe headache emergency,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,血压 180 120 胸痛 不能延误急救,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,高血压危象 症状 急诊,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,0.429,0.143,True,True,True,True,
calibrated_query_only,肢体无力 说话困难 血压很高,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,胸痛气短严重血压范围怎么办,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,正在用降压药 PPG 偏高 可以停药吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,血压估算高 要不要自己加药,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.4,True,True,True,True,
calibrated_query_only,降压药 剂量 调整 PPG 估算,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
calibrated_query_only,服药用户 血压偏高 咨询医生,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,可以自行服用降压药吗 PPG 结果,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
calibrated_query_only,medication blood pressure estimate do not change dose,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,停用降压药 安全边界,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.4,True,True,True,True,
calibrated_query_only,调药建议 Safety Agent 拦截,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
calibrated_query_only,孕妇 PPG 血压偏高 咨询医生,general,special_population,special_population,guideline|official_health_education,1.0,0.4,True,True,True,True,
calibrated_query_only,妊娠 高血压估算 复核,general,special_population,special_population,guideline|official_health_education,1.0,1.0,True,True,True,True,
calibrated_query_only,糖尿病 用户 血压估算 偏高,general,special_population,special_population,guideline|official_health_education,1.0,0.8,True,True,True,True,
metadata_filter_safety,PPG 血压估算准确吗 可以替代血压计吗,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,无袖带 血压 设备 局限 PPG,general,cuffless_ppg_limitations,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,手指摄像头 PPG 信号质量差 怎么办,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,置信度低 血压估算 是否可信,general,signal_quality|cuffless_ppg_limitations,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,PPG 运动伪影 手指移动 光学信号质量,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,PPG 接触压力 过紧 过松 波形质量,general,signal_quality,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,0.857,True,True,True,True,
metadata_filter_safety,摄像头 PPG 肤色 环境光 影响 测量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,PPG 采集时长 采样 信号处理 最佳实践,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,motion_artifact_score 偏高 PPG 手指移动 重新采集,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,finger_coverage_score 低 手指覆盖不完整 摄像头 PPG,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,contact_pressure_level high 手指按压过紧 PPG 波形质量,general,signal_quality,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,0.857,True,True,True,True,
metadata_filter_safety,ambient_light_level bright 强光 摄像头 PPG 信号质量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,0.857,True,True,True,True,
metadata_filter_safety,PPG 采集 8 秒 有效脉搏不足 能不能看,general,signal_quality|remeasurement,measurement_quality|cuffless_ppg_limitations|home_bp_monitoring,review|research_context|scientific_statement|official_health_education|safety_rule|guideline,1.0,1.0,True,True,True,True,
metadata_filter_safety,PAT PTT 校准限制 可以证明血压准确吗,general,cuffless_ppg_limitations|research_background,cuffless_ppg_limitations|measurement_quality,scientific_statement|guideline|official_health_education|review|research_context|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,腕部 PPG 传感器位置 姿势 高度 信号质量,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,可穿戴光学传感器 活动状态 运动 误差 PPG,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,imaging PPG quality assessment ambient illumination motion artifact,general,signal_quality|research_background,measurement_quality|cuffless_ppg_limitations,review|research_context|scientific_statement|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,145/92 血压估算 偏高 需要注意什么,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,130/85 估算血压 生活方式 建议,general,bp_category_reference|lifestyle,bp_categories|lifestyle,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,185/122 胸痛 气短 需要急救吗,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
metadata_filter_safety,180 120 没有症状 复测 规范血压计,general,bp_category_reference|remeasurement,bp_categories|home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,胸痛 说话困难 肢体无力 高血压 急症,sensitive,emergency_alert,emergency,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
metadata_filter_safety,正在使用降压药 PPG 血压偏高 要停药吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
metadata_filter_safety,降压药 剂量 调整 可以吗,sensitive,medication_safety,medication_safety,guideline|official_health_education|safety_rule,1.0,1.0,True,True,True,True,
metadata_filter_safety,妊娠 孕妇 血压估算偏高,sensitive,special_population|emergency_alert,special_population|emergency,guideline|official_health_education|safety_rule,1.0,0.6,True,True,True,True,
metadata_filter_safety,糖尿病 用户 血压估算偏高 咨询医生,general,special_population,special_population,guideline|official_health_education,1.0,1.0,True,True,True,True,
metadata_filter_safety,慢性肾病 CKD 血压偏高 PPG,general,special_population,special_population,guideline|official_health_education,1.0,1.0,True,True,True,True,
metadata_filter_safety,老年人 65 岁 血压估算 复核,general,special_population|home_bp_monitoring,special_population|home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry,1.0,1.0,True,True,True,True,
metadata_filter_safety,家庭血压监测 上臂式 电子血压计,general,home_bp_monitoring|device_advice,home_bp_monitoring|measurement_quality|validated_devices|cuffless_ppg_limitations,guideline|official_health_education|official_registry|validation_standard,1.0,1.0,True,True,True,True,
metadata_filter_safety,腕式 手指式 血压计 可靠吗 上臂式,general,device_advice|home_bp_monitoring,validated_devices|home_bp_monitoring|cuffless_ppg_limitations|measurement_quality,validation_standard|official_registry|guideline|official_health_education,1.0,1.0,True,True,True,True,
