topic,source_id,title,organization,year,evidence_class,source_type,url,allowed_uses
bp_categories,acc_aha_2025_full_guideline_record,2025 AHA ACC Guideline for the Prevention Detection Evaluation and Management of High Blood Pressure in Adults,American Heart Association / American College of Cardiology,2025,guideline,guideline_record,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population
bp_categories,aha_2025_bp_guideline_top_things,2025 High Blood Pressure Guideline - Top Things to Know,American Heart Association,2025,guideline,guideline_summary,https://professional.heart.org/en/science-news/2025-high-blood-pressure-guideline/top-things-to-know,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population
bp_categories,aha_understanding_bp_readings_public,Understanding Blood Pressure Readings,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings,bp_category_reference;emergency_alert;remeasurement
bp_categories,chinese_hypertension_guideline_2024_catalog,Chinese Guidelines for the Prevention and Treatment of Hypertension (2024 revision),Chinese guideline authors,2025,guideline,guideline,https://www.sciopen.com/article/10.26599/1671-5411.2025.01.008,bp_category_reference;home_bp_monitoring;remeasurement;lifestyle;special_population
bp_categories,esc_2024_bp_guideline_key_points,2024 ESC Guidelines for Elevated Blood Pressure and Hypertension - Key Points,European Society of Cardiology / American College of Cardiology summary,2024,guideline,guideline_summary,https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2024/09/05/14/11/2024-esc-guidelines-for-bp-esc-2024,bp_category_reference;home_bp_monitoring;remeasurement;special_population
bp_categories,nhlbi_high_blood_pressure,High Blood Pressure,"National Heart, Lung, and Blood Institute",2026,official_health_education,patient_education,https://www.nhlbi.nih.gov/health/high-blood-pressure,bp_category_reference;lifestyle;special_population
bp_categories,who_global_hypertension_report_2023,Global report on hypertension: the race against a silent killer,World Health Organization,2023,official_health_education,global_report_pdf,https://iris.who.int/handle/10665/372896,bp_category_reference;lifestyle;home_bp_monitoring;disclaimer
bp_categories,who_hypertension_fact_sheet,Hypertension fact sheet,World Health Organization,2026,official_health_education,fact_sheet,https://www.who.int/news-room/fact-sheets/detail/hypertension,bp_category_reference;lifestyle;special_population
cuffless_ppg_limitations,aha_cuffless_bp_scientific_statement,Cuffless Devices for the Measurement of Blood Pressure,American Heart Association,2025,scientific_statement,scientific_statement,https://professional.heart.org/en/science-news/cuffless-devices-for-the-measurement-of-blood-pressure/top-things-to-know,cuffless_ppg_limitations;device_advice;signal_quality;research_background
cuffless_ppg_limitations,bradley_2022_cuffless_bp_devices_review,Cuffless Blood Pressure Devices,American Journal of Hypertension,2022,review,review_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9088838/,cuffless_ppg_limitations;device_advice;research_background
cuffless_ppg_limitations,fda_cuffless_nibp_draft_guidance,Cuffless Non-invasive Blood Pressure Measuring Devices - Clinical Performance Testing and Evaluation,U.S. Food and Drug Administration,2026,validation_standard,regulatory_guidance_draft,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cuffless-non-invasive-blood-pressure-measuring-devices-clinical-performance-testing-and-evaluation,cuffless_ppg_limitations;device_advice;signal_quality;research_background
cuffless_ppg_limitations,mukkamala_2015_ptt_bp_monitoring_theory_practice,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Theory and Practice,IEEE Transactions on Biomedical Engineering,2015,review,review_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4515215/,cuffless_ppg_limitations;signal_quality;research_background
cuffless_ppg_limitations,mukkamala_2017_ptt_calibration_error_limits,Toward Ubiquitous Blood Pressure Monitoring via Pulse Transit Time - Predictions on Maximum Calibration Period and Acceptable Error Limits,IEEE Transactions on Biomedical Engineering,2017,research_context,research_article_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6014705/,cuffless_ppg_limitations;research_background
cuffless_ppg_limitations,ode_2020_continuous_ambulatory_bp_ptt_data_acquisition,Towards Continuous and Ambulatory Blood Pressure Monitoring - Methods for Efficient Data Acquisition for Pulse Transit Time Estimation,Sensors,2020,research_context,research_article_pdf,https://www.mdpi.com/1424-8220/20/24/7106,cuffless_ppg_limitations;signal_quality;research_background
cuffless_ppg_limitations,parati_2026_esc_cuffless_bp_monitoring_statement,Cuffless Blood Pressure Monitoring Devices - Technical Foundations and Clinical Implications,European Society of Cardiology,2026,scientific_statement,scientific_statement_pdf,https://academic.oup.com/eurjpc/advance-article/doi/10.1093/eurjpc/zwag058/8497606,cuffless_ppg_limitations;device_advice;research_background;disclaimer
cuffless_ppg_limitations,pubmed_cuffless_bp_review_41460057,Cuffless blood pressure measurement narrative review - PubMed record,PubMed,2025,review,narrative_review,https://pubmed.ncbi.nlm.nih.gov/41460057/,research_background;cuffless_ppg_limitations
cuffless_ppg_limitations,pubmed_cuffless_bp_statement_41376592,Cuffless Devices for the Measurement of Blood Pressure - PubMed record,PubMed / American Heart Association,2025,scientific_statement,bibliographic_record,https://pubmed.ncbi.nlm.nih.gov/41376592/,cuffless_ppg_limitations;research_background
disclaimer,local_disclaimer_rule,Required disclaimer rule,project,2026,safety_rule,local_safety_rule,,disclaimer;cuffless_ppg_limitations
disclaimer,local_evidence_quality_rule,Evidence quality and citation safety rule,project,2026,safety_rule,local_safety_rule,,disclaimer;research_background
disclaimer,local_kb_governance_rule,Knowledge base governance rule,project,2026,safety_rule,local_safety_rule,,disclaimer;research_background
emergency,aha_hypertensive_crisis_public,Hypertensive Crisis and Emergency Warning,American Heart Association,2026,official_health_education,safety_education,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings,emergency_alert;bp_category_reference
emergency,cdc_heart_disease_symptoms,Heart Attack Symptoms Risk and Recovery,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/heart-disease/about/heart-attack.html,emergency_alert;special_population
emergency,cdc_stroke_signs,Stroke Signs and Symptoms,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/stroke/signs-symptoms/index.html,emergency_alert
emergency,local_hypertensive_emergency_rule,Hypertensive emergency safety rule,project,2026,safety_rule,local_safety_rule,,emergency_alert
