needs_teacher_attention,category,source_id,candidate_id,title,organization,year,access_mode,status,summary_status,institution_required,already_summarized,reason_for_teacher,landing_url,pdf_url
yes,仅保留元数据/标准或付费记录,iso_81060_2_validation_standard,iso_81060_2_record_only,ISO 81060-2 validation standard metadata record,International Organization for Standardization,2018,metadata_only_paid_standard,metadata_only,metadata_only,no,no,只保留元数据和原则说明；除非明确合法授权，不下载标准全文。,https://www.iso.org/standard/73339.html,
yes,官方站点防护或访问限制，自动下载失败,esc_2024_bp_guideline_key_points,esc_2024_essential_messages_pdf,ESC 2024 elevated blood pressure and hypertension essential messages PDF,European Society of Cardiology,2024,browser_required,access_blocked,pending_fulltext,no,no,"official ESC static PDF URL identified, but automated/local access returned 403; no verified Essential Messages PDF archived",https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2024/09/05/14/11/2024-esc-guidelines-for-bp-esc-2024,https://www.escardio.org/static-file/Escardio/Guidelines/Products/Essential%20Messages/2024%20EM/Essential%20Messages_2024%20HTN.pdf
yes,待人工下载/待核验全文,allen_2007_ppg_clinical_measurement_review,allen_2007_ppg_clinical_measurement_fulltext,Photoplethysmography and its application in clinical physiological measurement,Physiological Measurement,2007,institution_or_browser,queued_manual,pending_fulltext,yes,no,若用户后续可通过机构或出版社页面获取 PDF，请保存为 knowledge_base/sources/downloads/allen_2007_ppg_clinical_measurement_review.pdf，并只提交中文摘要。,https://pubmed.ncbi.nlm.nih.gov/17322588/,https://iopscience.iop.org/article/10.1088/0967-3334/28/3/R01/pdf
yes,待人工下载/待核验全文,charlton_2022_wearable_ppg_cardiovascular_review,charlton_2022_wearable_ppg_cardiovascular_fulltext,Wearable Photoplethysmography for Cardiovascular Monitoring,Proceedings of the IEEE,2022,institution_or_browser,queued_manual,pending_fulltext,yes,no,若用户可通过 IEEE 或机构页面下载 PDF，请保存为 knowledge_base/sources/downloads/charlton_2022_wearable_ppg_cardiovascular_review.pdf，并只提交中文摘要。,https://ieeexplore.ieee.org/document/9731763,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9731763
yes,待人工下载/待核验全文,esh_2023_hypertension_guideline,esh_2023_guideline_fulltext,ESH 2023 arterial hypertension guideline full text,European Society of Hypertension,2023,institution_or_browser,awaiting_human_verification,pending_fulltext,yes,no,2026-05-10 通过 ESH 官方页面进入 LWW 全文页时触发 Cloudflare 人机验证；需用户本人完成验证或机构登录后再继续，保存为 knowledge_base/sources/downloads/esh_2023_hypertension_guideline.pdf。,https://www.eshonline.org/guidelines/,
yes,官方站点防护或访问限制，自动下载失败,cdc_million_hearts_smbp_action_guide,cdc_million_hearts_smbp_action_guide_pdf,Million Hearts Self-Measured Blood Pressure Monitoring: Action Steps for Clinicians,Centers for Disease Control and Prevention / Million Hearts,2014,public_landing,access_blocked,ready,no,yes,CDC Stacks landing 可读；2026-05-22 直接 PDF 请求在本环境返回 403，保留为人工浏览器候选；若后续合法下载，保存为 knowledge_base/sources/downloads/cdc_million_hearts_smbp_action_guide.pdf。,https://stacks.cdc.gov/view/cdc/251870,https://stacks.cdc.gov/view/cdc/251870/cdc_251870_DS1.pdf
yes,官方站点防护或访问限制，自动下载失败,who_global_hypertension_report_2023,who_global_hypertension_report_2023_pdf,Global report on hypertension: the race against a silent killer,World Health Organization,2023,public_landing,access_blocked,ready,no,yes,WHO IRIS 公开 landing 可读；2026-05-22 直接 PDF 请求在本环境返回 403/html，保留为人工浏览器候选；若后续合法下载，保存为 knowledge_base/sources/downloads/who_global_hypertension_report_2023.pdf。,https://iris.who.int/handle/10665/372896,https://iris.who.int/bitstream/handle/10665/372896/9789240081062-eng.pdf?sequence=1
no,需要机构或浏览器授权，已人工获取摘要,aha_cuffless_bp_scientific_statement,aha_cuffless_bp_statement_fulltext,AHA cuffless blood pressure scientific statement full text,American Heart Association,2025,institution_or_browser,summarized,ready,yes,yes,如浏览器已通过大连理工大学机构身份访问 AHA Journals，可下载 PDF 并保存为 knowledge_base/sources/downloads/aha_cuffless_bp_scientific_statement.pdf。,https://professional.heart.org/en/science-news/cuffless-devices-for-the-measurement-of-blood-pressure,https://www.ahajournals.org/doi/pdf/10.1161/HYP.0000000000000254
no,需要机构或浏览器授权，已人工获取摘要,chandrasekhar_2020_contact_pressure_cuffless_bp,chandrasekhar_2020_contact_pressure_cuffless_bp_fulltext,PPG Sensor Contact Pressure Should Be Taken Into Account for Cuff-Less Blood Pressure Measurement,IEEE Transactions on Biomedical Engineering,2020,institution_or_browser,summarized,ready,yes,yes,2026-05-21 用户已提供 PMC/NIHMS 本地 PDF 并归档为 knowledge_base/sources/downloads/chandrasekhar_2020_contact_pressure_cuffless_bp.pdf；入库只写摘要，不提交全文 PDF。,https://ieeexplore.ieee.org/document/9016235,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9016235
no,需要机构或浏览器授权，已人工获取摘要,chinese_hypertension_guideline_2024_catalog,chinese_hypertension_2024_fulltext,Chinese Guidelines for the Prevention and Treatment of Hypertension 2024 revision full text,Chinese guideline authors,2025,institution_or_browser,summarized,ready,yes,yes,若 SciOpen PDF 在浏览器中可通过机构或验证码访问，下载后保存为 knowledge_base/sources/downloads/chinese_hypertension_guideline_2024_catalog.pdf。,https://www.sciopen.com/article/10.26599/1671-5411.2025.01.008,https://www.sciopen.com/article/pdf/10.26599/1671-5411.2025.01.008
no,需要机构或浏览器授权，已人工获取摘要,shirbani_2020_ambient_light_skin_tone_vpg,shirbani_2020_ambient_light_skin_tone_vpg_fulltext,Effect of Ambient Lighting and Skin Tone on Estimation of Heart Rate and Pulse Transit Time from Video Plethysmography,IEEE EMBC,2020,institution_or_browser,summarized,ready,yes,yes,2026-05-21 网页端未找到合法公开 PDF，标记为 institution_required；用户已提供本地 PDF 并归档为 knowledge_base/sources/downloads/shirbani_2020_ambient_light_skin_tone_vpg.pdf。入库只写摘要，不提交全文 PDF。,https://ieeexplore.ieee.org/document/9176731,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9176731
no,需要机构或浏览器授权，已人工获取摘要,teng_2004_contact_force_ppg,teng_2004_contact_force_ppg_fulltext,The effect of contacting force on photoplethysmographic signals,Physiological Measurement,2004,institution_or_browser,summarized,ready,yes,yes,2026-05-21 用户已提供本地 PDF 并归档为 knowledge_base/sources/downloads/teng_2004_contact_force_ppg.pdf；入库只写摘要，不提交全文 PDF。,https://pubmed.ncbi.nlm.nih.gov/15535195/,https://iopscience.iop.org/article/10.1088/0967-3334/25/5/020/pdf
no,需要浏览器人工访问，已人工获取摘要,acc_aha_2025_full_guideline_record,acc_aha_2025_guideline_fulltext,2025 AHA ACC adult high blood pressure guideline full text,American Heart Association / American College of Cardiology,2025,browser_required,summarized,ready,no,yes,浏览器打开指南主页，若页面提供 PDF 下载，保存为 knowledge_base/sources/downloads/acc_aha_2025_full_guideline_record.pdf。,https://professional.heart.org/en/guidelines-statements/2025-ahaaccaanpaapaabcaccpacpmagsamaaspcnmapcnasgim-guideline-for-thehyp0000000000000249,https://www.ahajournals.org/doi/pdf/10.1161/CIR.0000000000001356
